,,,,,,,,,,,
Heat Loss by Heat Transfer,,,,,,,,,,,
,,,,,,,,,,,
Walls:,Timber frame + mineral wool/cellulose,,,,,,,,,,
,Horizontal Dimension (m),Vertical Dimension (m),Area (m^2),f_x,U (W/m²·C),External Temperature (°C),Internal Temperature (°C),∆T (°C),Q_loss (w),,
South West Wall,10.7,7.5,60.25,0.51,0.22,1,20,19,128.44095,,
South East Wall,12.77,7.5,95.775,0.54,0.22,1,20,19,216.18333,,
North East Wall,10.7,7.5,80.25,1.05,0.22,1,20,19,352.21725,,
North West Wall,12.77,7.5,95.775,1.02,0.22,1,20,19,408.34629,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Windows:,Double-glazed with wood/aluminum frames,,,,,,,,,,
,Horizontal Dimension (m),Vertical Dimension (m),Area Total (m^2),f_x,U (W/m²·C),External Temperature (°C),Internal Temperature (°C),∆T (°C),Q_loss (w),,
South West Wall x4,2.5,2,20,0.51,1.2,1,20,19,232.56,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Floor:,Raised timber floor over crawlspace,,,,,,,,,,
,Width (m),Length (m),Area (m^2),f_x,U (W/m²·C),External Temperature (°C),Internal Temperature (°C),∆T (°C),Q_loss (w),,
,10.7,12.77,136.639,1,0.28,8,20,12,459.10704,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Ceiling:,Sloped roof with insulation between rafters,,,,,,,,,,
,Width (m),Length (m),Area (m^2),f_x,U (W/m²·C),External Temperature (°C),Internal Temperature (°C),∆T (°C),Q_loss (w),,
,10.7,12.77,136.639,1.1,0.18,1,20,19,514.035918,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,"Q_tot,loss (by heat transfer)",2310.890778,,
,,,,,,,,,,,
Heat Loss by Air Exchange ,,,,,,,,,,,
,,,,,,,,,,,
n (ACH),0.8,,,,,,,,,,
Volume of heated space (m³),1024.7925,,,,,,,,,,
External Temperature (°C),1,,,,,,,,,,
Internal Temperature (°C),20,,,,,,,,,,
"Q_tot,loss (by air exchange)",5408.62708,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Q_tot,loss",7719.517858,,,,,,,,,,
